type,question,A,B,C,D,answer,label_A,label_B,label_C,label_D
"Written Expression,The “Black Swan Theory” refers only to unexpected events of large magnitude and consequential and their dominant role in history.,refers,unexpected,consequential,history,C,Kata 'refers' tidak salah; merupakan predikat utama.,Kata 'unexpected' tidak salah; merupakan sifat dari 'events'.,Jawaban benar. 'consequential' harus berbentuk kata benda: 'consequence'.,Kata 'history' tidak salah; merupakan objek akhir."
"Written Expression,A stress person may experience fleeting moments of concern while a person with anxiety usually experiences symptoms for longer periods of time.,stress,experience,anxiety,time,A,Jawaban benar. 'stress' harus berbentuk adjective: 'stressed'.,Kata 'experience' tidak salah; merupakan predikat utama.,Kata 'anxiety' tidak salah; merupakan kondisi psikologis.,Kata 'time' tidak salah; merupakan objek akhir."
"Written Expression,In the United States England and another major nations patents were awarded at the rate of about 5;000 per year per nation.,another,nations,were awarded,rate,B,Jawaban salah. 'another' tidak cocok untuk plural; seharusnya 'other'.,Jawaban benar. 'nations' adalah subjek jamak; 'another' tidak boleh digunakan.,Kata 'were awarded' tidak salah; sesuai dengan konteks masa lalu.,Kata 'rate' tidak salah; merupakan bagian dari frasa 'rate of about…'."
"Written Expression,While the astronomical polar night stars of the sixth magnitude which are the dimmest stars visible to the naked eye will be visible throughout the entire day.,While,polar night,dimmed,visible,A,Jawaban benar. 'While' tidak tepat; seharusnya 'During'.,Kata 'polar night' tidak salah; merupakan istilah astronomi.,Kata 'dimmed' tidak muncul dalam kalimat asli.,Kata 'visible' tidak salah; sesuai dengan konteks cahaya."
"Written Expression,Experiments using gene therapy represent a giant step into the future of medicine.,Experiments,gene therapy,represent,future,D,Kata 'Experiments' tidak salah; merupakan subjek utama.,Kata 'gene therapy' tidak salah; merupakan topik penelitian.,Kata 'represent' tidak salah; merupakan predikat utama.,Jawaban salah. Tidak ada kesalahan pada kalimat; kemungkinan hanya uji coba."
"Written Expression,After visited army camps near Washington D.C in 1861 Julia Ward Howe wrote “The Battle Hymn of the Republic.”,visited,army camps,Washington D.C,Howe,A,Jawaban benar. 'visited' harus berbentuk V-ing karena setelah preposisi 'after'.,Kata 'army camps' tidak salah; merupakan lokasi kunjungan.,Kata 'Washington D.C' tidak salah; merupakan tempat.,Kata 'Howe' tidak salah; merupakan penulis lagu."
"Written Expression,Certain authorities claim that the costumes that people wear to parties given subtle insights into their personalities.,costumes,wear,parties,given,D,Kata 'costumes' tidak salah; merupakan subjek utama.,Kata 'wear' tidak salah; merupakan predikat utama.,Kata 'parties' tidak salah; merupakan objek dari 'to wear'.,Jawaban benar. 'given' harus berbentuk kata kerja: 'give' atau 'giving'."
"Written Expression,The number of students who failed the test are higher than expected.,number,students,failed,are,D,Kata 'number' tidak salah; merupakan subjek tunggal.,Kata 'students' tidak salah; merupakan objek.,Kata 'failed' tidak salah; merupakan kata kerja.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,Neither the teacher nor the students has done their homework yet.,teacher,nor,students,has,D,Jawaban salah. 'Teacher' tidak salah; subjek tunggal.,Frasa 'nor' tidak salah; penghubung logis.,Kata 'students' tidak salah; subjek jamak.,Jawaban benar. 'Has' harus berbentuk jamak: 'have'."
"Written Expression,The information provided by the staff are not accurate enough.,information,provided,staff,are,D,Kata 'information' tidak salah; subjek tunggal.,Kata 'provided' tidak salah; merupakan partisip lampau.,Kata 'staff' tidak salah; merupakan pelaku.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,Everyone who have seen the movie agrees it’s a masterpiece.,who,have,agrees,movie,B,Kata 'who' tidak salah; sebagai klausa relatif.,Jawaban benar. 'Have' harus berbentuk tunggal: 'has'.,Kata 'agrees' tidak salah; predikat tunggal.,Kata 'movie' tidak salah; merupakan objek."
"Written Expression,Each of the participants were given a certificate at the end of the seminar.,each,were,given,certificate,B,Kata 'each' tidak salah; subjek tunggal.,Jawaban benar. 'Were' harus berbentuk tunggal: 'was'.,Kata 'given' tidak salah; merupakan lampau pasif.,Kata 'certificate' tidak salah; merupakan objek."
"Written Expression,The book including its cover and pages are in good condition.,book,includding,cover,are,D,Kata 'book' tidak salah; subjek tunggal.,Kata 'including' tidak salah; menjelaskan bagian tambahan.,Kata 'cover' tidak salah; bagian dari buku.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,One of the best players on the team are injured.,players,team,are,injured,C,Kata 'players' tidak salah; bagian dari frasa.,Kata 'team' tidak salah; lokasi pemain.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'.,Kata 'injured' tidak salah; kondisi pemain."
"Written Expression,The committee was unable to agree on a decision due to disagreement among its members.,committee,agree,disagreement,members,C,Kata 'committee' bisa jamak atau tunggal tergantung konteks.,Kata 'agree' tidak salah; merupakan kata kerja.,Jawaban benar. Frasa 'due to disagreement' salah; seharusnya 'because of'.,Kata 'members' tidak salah; bagian dari komite."
"Written Expression,The data shows that there is a correlation between sleep and productivity.,data,shows,correlation,productivity,C,Kata 'data' bisa jamak/tunggal tergantung konteks.,Kata 'shows' tidak salah jika data dianggap tunggal.,Jawaban benar. 'Correlation' harus berbentuk klausa lengkap.,Kata 'productivity' tidak salah; hasil."
"Written Expression,All of the information in this report is confidential and must not be disclosed.,of,information,report,is,A,Jawaban benar. 'All of the information' tidak gramatikal; seharusnya 'all the information'.,Kata 'information' tidak salah; subjek tunggal.,Kata 'report' tidak salah; sumber informasi.,Kata 'is' tidak salah; cocok dengan subjek tunggal."
Structure,Wai Lin in *Tomorrow Never Dies* and Evelyn Wang in *Everything Everywhere All At Once* … of Michelle Yeoh's famous roles.,they are two,two of them are,two of them,are two,D,Jawaban salah. Kalimat ini membutuhkan predikat agar menjadi klausa lengkap. Opsi D benar karena 'are two' melengkapi subjek Wai Lin...roles'.,Jawaban salah. Struktur ini tidak gramatikal karena urutan frasa tidak tepat.,Jawaban salah. Frasa ini tidak memiliki predikat sehingga tidak membentuk klausa lengkap.,Jawaban benar. Karena 'are two' melengkapi subjek Wai Lin...roles' sebagai klausa utama.
Structure,Joanne Kathleen Rowling born in Yate … famous as an author and philanthropist.,became,she was,and became,and she became,A,Jawaban benar. Kata kerja 'became' cocok dengan konteks lampau dan langsung mengikuti nama Joanne tanpa subjek tambahan.,Jawaban salah. Subjek 'she' tidak diperlukan karena subjek utamanya sudah disebutkan di awal kalimat.,Jawaban salah. Kata penghubung 'and' tidak diperlukan sebelum kata kerja.,Jawaban salah. Struktur ini menyebabkan kalimat menjadi runtuh karena terlalu banyak subjek dan predikat.
Structure,The then-Governor James Coyne … a reduction in the Canadian money supply in the early 1960s when the inflation began to rise.,ordered,are ordering,orders,will order,A,Jawaban benar. Kata kerja 'ordered' sesuai dengan waktu lampau ('in the early 1960s').,Jawaban salah. Bentuk progresif ini tidak sesuai karena subjek jamak dan bentuk progresif tidak diperlukan.,Jawaban salah. Bentuk present tense tidak sesuai dengan konteks masa lalu.,Jawaban salah. Future tense tidak cocok digunakan pada peristiwa masa lalu.
Structure,But along the jaded coastline of southeast Greenland some polar bears … as homebodies.,has survived,is surviving,they survived,are surviving,D,Jawaban salah. 'Has survived' tidak sesuai karena subjek jamak dan bentuk progresif tidak diperlukan.,Jawaban salah. 'Is surviving' tidak sesuai karena subjek jamak dan waktu kalimat tidak menyiratkan progresif saat ini.,Jawaban salah. Meskipun gramatikal, kalimat ini lebih tepat menggunakan bentuk progresif saat ini.,Jawaban benar. Bentuk 'are surviving' menunjukkan aktivitas yang sedang berlangsung saat ini.
Structure,The raw material of perception for all the senses consists of neural impulses … to differently specialized parts of the brain.,they are channeled,channeled are,which are channeled,which channeled are,C,Jawaban salah. Struktur ini tidak memiliki klausa relatif yang benar.,Jawaban salah. Urutan kata tidak gramatikal dalam klausa relatif.,Jawaban benar. 'which are channeled' adalah klausa relatif pasif yang tepat.,Jawaban salah. Urutan 'which channeled are' tidak gramatikal.
Structure,Some early tribes mistook the hyena's distinctive call which … to hysterical human laughter or the cries of lost souls.,to equated,some have equated,some equating,have equating,B,Jawaban salah. 'To equated' bukan bentuk verba yang valid.,Jawaban benar. 'some have equated' sesuai dengan pola klausa relatif dan waktu lampau.,Jawaban salah. 'equating' tidak dapat digunakan tanpa bantuan kata kerja utama.,Jawaban salah. 'have equating' adalah bentuk yang tidak gramatikal.
Structure,While it is traditionally assumed … designed for consumers, it is perhaps more accurate to say that the media content is actually geared towards the needs of advertisers.,that mass media content is,mass media content that is,that is mass media content,mass media content is that,A,Jawaban benar. Struktur 'that mass media content is' cocok dengan klausa benda setelah 'assumed'.,Jawaban salah. Urutan frasa tidak gramatikal dalam klausa benda.,Jawaban salah. Struktur klausa tidak logis.,Jawaban salah. Struktur 'mass media content is that' tidak gramatikal.
Structure,Commercial organizations spend a lot of effort and money on naming products devising slogans and creating messages … meaningful to the buying public.,will be that,that will be,will it be,that it will,B,Jawaban salah. 'will be that' tidak gramatikal dalam klausa relatif.,Jawaban benar. 'that will be' adalah klausa relatif aktif yang sesuai.,Jawaban salah. Struktur ini tidak membentuk klausa relatif yang benar.,Jawaban salah. 'that it will' tidak gramatikal dalam konteks ini.
Structure,Latin America… the deserts of northern Mexico to the icy wilds of Tierra del Fuego in Chile and Argentina encompasses many diverse countries and people.,extended from,that extended from,extending from,it extended,C,Jawaban salah. Partisip lampau tidak cocok untuk menjelaskan kondisi saat ini.,Jawaban salah. Struktur ini terlalu rumit dan tidak efektif.,Jawaban benar. 'extending from' adalah partisip aktif yang menjelaskan Latin America.,Jawaban salah. Subjek 'it' tidak diperlukan karena ada di tengah-tengah kalimat.
Structure,… and most cosmopolitan city Melbourne is home to people from over 100 nations.,Australia as the second-largest,Australia was the second-largest,Australia is the second-largest,Australia's second-largest,D,Jawaban salah. Struktur ini tidak gramatikal dan tidak memiliki hubungan logis dengan 'Melbourne'.,Kata 'was' tidak cocok untuk deskripsi geografis saat ini.,'Australia is...' tidak bisa menjadi pelengkap 'city'.,Jawaban benar. 'Australia's second-largest' adalah frasa kepemilikan yang tepat.
"Written Expression,The sound of a number of different notes played simultaneous creates harmony.,simultaneous,creates,played,harmony,C,Kesalahan pada opsi C: 'simultaneous' harus berupa adverb 'simultaneously'.,Kalimat ini gramatikal kecuali bagian 'simultaneous'.,Jawaban benar. Kesalahan pada 'simultaneous'; seharusnya 'simultaneously'.,Kata 'harmony' tidak salah; merupakan objek akhir."
"Written Expression,During parasocial relationships still remain one-sided they have transformed into more interactive environments allowing individuals to communicate with their personas.,A,B,C,D,A,Jawaban benar. 'During' tidak tepat; seharusnya 'Although' atau 'While'.,Kata 'parasocial' tidak salah; merupakan sifat dari 'relationships'.,Kata 'remain' tidak salah secara tata bahasa.,Frasa 'their personas' tidak salah secara tata bahasa."
"Written Expression,Just as artists are described in terms of movements such as Baroque and Rococo literary history is defined by authors united in particularly style technique or location.,Baroque,particularly,style,location,B,Kata 'Baroque' tidak salah; merupakan contoh aliran seni.,Jawaban benar. 'particularly' harus berbentuk adjektiva: 'particular'.,Kata 'style' tidak salah; merupakan bagian dari daftar.,Kata 'location' tidak salah; merupakan bagian dari daftar."
"Written Expression,The “Black Swan Theory” refers only to unexpected events of large magnitude and consequential and their dominant role in history.,refers,unexpected,consequential,history,C,Kata 'refers' tidak salah; merupakan predikat utama.,Kata 'unexpected' tidak salah; merupakan sifat dari 'events'.,Jawaban benar. 'consequential' harus berbentuk kata benda: 'consequence'.,Kata 'history' tidak salah; merupakan objek akhir."
"Written Expression,A stress person may experience fleeting moments of concern while a person with anxiety usually experiences symptoms for longer periods of time.,stress,experience,anxiety,time,A,Jawaban benar. 'stress' harus berbentuk adjective: 'stressed'.,Kata 'experience' tidak salah; merupakan predikat utama.,Kata 'anxiety' tidak salah; merupakan kondisi psikologis.,Kata 'time' tidak salah; merupakan objek akhir."
"Written Expression,In the United States England and another major nations patents were awarded at the rate of about 5;000 per year per nation.,another,nations,were awarded,rate,B,Jawaban salah. 'another' tidak cocok untuk plural; seharusnya 'other'.,Jawaban benar. 'nations' adalah subjek jamak; 'another' tidak boleh digunakan.,Kata 'were awarded' tidak salah; sesuai dengan konteks masa lalu.,Kata 'rate' tidak salah; merupakan bagian dari frasa 'rate of about…'."
"Written Expression,While the astronomical polar night stars of the sixth magnitude which are the dimmest stars visible to the naked eye will be visible throughout the entire day.,While,polar night,dimmed,visible,A,Jawaban benar. 'While' tidak tepat; seharusnya 'During'.,Kata 'polar night' tidak salah; merupakan istilah astronomi.,Kata 'dimmed' tidak muncul dalam kalimat asli.,Kata 'visible' tidak salah; sesuai dengan konteks cahaya."
"Written Expression,Experiments using gene therapy represent a giant step into the future of medicine.,Experiments,gene therapy,represent,future,D,Kata 'Experiments' tidak salah; merupakan subjek utama.,Kata 'gene therapy' tidak salah; merupakan topik penelitian.,Kata 'represent' tidak salah; merupakan predikat utama.,Jawaban salah. Tidak ada kesalahan pada kalimat; kemungkinan hanya uji coba."
"Written Expression,After visited army camps near Washington D.C in 1861 Julia Ward Howe wrote “The Battle Hymn of the Republic.”,visited,army camps,Washington D.C,Howe,A,Jawaban benar. 'visited' harus berbentuk V-ing karena setelah preposisi 'after'.,Kata 'army camps' tidak salah; merupakan lokasi kunjungan.,Kata 'Washington D.C' tidak salah; merupakan tempat.,Kata 'Howe' tidak salah; merupakan penulis lagu."
"Written Expression,Certain authorities claim that the costumes that people wear to parties given subtle insights into their personalities.,costumes,wear,parties,given,D,Kata 'costumes' tidak salah; merupakan subjek utama.,Kata 'wear' tidak salah; merupakan predikat utama.,Kata 'parties' tidak salah; merupakan objek dari 'to wear'.,Jawaban benar. 'given' harus berbentuk kata kerja: 'give' atau 'giving'."
"Written Expression,The number of students who failed the test are higher than expected.,number,students,failed,are,D,Kata 'number' tidak salah; merupakan subjek tunggal.,Kata 'students' tidak salah; merupakan objek.,Kata 'failed' tidak salah; merupakan kata kerja.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,Neither the teacher nor the students has done their homework yet.,teacher,nor,students,has,D,Jawaban salah. 'Teacher' tidak salah; subjek tunggal.,Frasa 'nor' tidak salah; penghubung logis.,Kata 'students' tidak salah; subjek jamak.,Jawaban benar. 'Has' harus berbentuk jamak: 'have'."
"Written Expression,The information provided by the staff are not accurate enough.,information,provided,staff,are,D,Kata 'information' tidak salah; subjek tunggal.,Kata 'provided' tidak salah; merupakan partisip lampau.,Kata 'staff' tidak salah; merupakan pelaku.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,Everyone who have seen the movie agrees it’s a masterpiece.,who,have,agrees,movie,B,Kata 'who' tidak salah; sebagai klausa relatif.,Jawaban benar. 'Have' harus berbentuk tunggal: 'has'.,Kata 'agrees' tidak salah; predikat tunggal.,Kata 'movie' tidak salah; merupakan objek."
"Written Expression,Each of the participants were given a certificate at the end of the seminar.,each,were,given,certificate,B,Kata 'each' tidak salah; subjek tunggal.,Jawaban benar. 'Were' harus berbentuk tunggal: 'was'.,Kata 'given' tidak salah; merupakan lampau pasif.,Kata 'certificate' tidak salah; merupakan objek."
"Written Expression,The book including its cover and pages are in good condition.,book,includding,cover,are,D,Kata 'book' tidak salah; subjek tunggal.,Kata 'including' tidak salah; menjelaskan bagian tambahan.,Kata 'cover' tidak salah; bagian dari buku.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,One of the best players on the team are injured.,players,team,are,injured,C,Kata 'players' tidak salah; bagian dari frasa.,Kata 'team' tidak salah; lokasi pemain.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'.,Kata 'injured' tidak salah; kondisi pemain."
"Written Expression,The committee was unable to agree on a decision due to disagreement among its members.,committee,agree,disagreement,members,C,Kata 'committee' bisa jamak atau tunggal tergantung konteks.,Kata 'agree' tidak salah; merupakan kata kerja.,Jawaban benar. Frasa 'due to disagreement' salah; seharusnya 'because of'.,Kata 'members' tidak salah; bagian dari komite."
"Written Expression,The data shows that there is a correlation between sleep and productivity.,data,shows,correlation,productivity,C,Kata 'data' bisa jamak/tunggal tergantung konteks.,Kata 'shows' tidak salah jika data dianggap tunggal.,Jawaban benar. 'Correlation' harus berbentuk klausa lengkap.,Kata 'productivity' tidak salah; hasil."
"Written Expression,All of the information in this report is confidential and must not be disclosed.,of,information,report,is,A,Jawaban benar. 'All of the information' tidak gramatikal; seharusnya 'all the information'.,Kata 'information' tidak salah; subjek tunggal.,Kata 'report' tidak salah; sumber informasi.,Kata 'is' tidak salah; cocok dengan subjek tunggal."
Structure,Wai Lin in *Tomorrow Never Dies* and Evelyn Wang in *Everything Everywhere All At Once* … of Michelle Yeoh's famous roles.,they are two,two of them are,two of them,are two,D,Jawaban salah. Kalimat ini membutuhkan predikat agar menjadi klausa lengkap. Opsi D benar karena 'are two' melengkapi subjek Wai Lin...roles'.,Jawaban salah. Struktur ini tidak gramatikal karena urutan frasa tidak tepat.,Jawaban salah. Frasa ini tidak memiliki predikat sehingga tidak membentuk klausa lengkap.,Jawaban benar. Karena 'are two' melengkapi subjek Wai Lin...roles' sebagai klausa utama.
Structure,Joanne Kathleen Rowling born in Yate … famous as an author and philanthropist.,became,she was,and became,and she became,A,Jawaban benar. Kata kerja 'became' cocok dengan konteks lampau dan langsung mengikuti nama Joanne tanpa subjek tambahan.,Jawaban salah. Subjek 'she' tidak diperlukan karena subjek utamanya sudah disebutkan di awal kalimat.,Jawaban salah. Kata penghubung 'and' tidak diperlukan sebelum kata kerja.,Jawaban salah. Struktur ini menyebabkan kalimat menjadi runtuh karena terlalu banyak subjek dan predikat.
Structure,The then-Governor James Coyne … a reduction in the Canadian money supply in the early 1960s when the inflation began to rise.,ordered,are ordering,orders,will order,A,Jawaban benar. Kata kerja 'ordered' sesuai dengan waktu lampau ('in the early 1960s').,Jawaban salah. Bentuk progresif ini tidak sesuai karena subjek jamak dan bentuk progresif tidak diperlukan.,Jawaban salah. Bentuk present tense tidak sesuai dengan konteks masa lalu.,Jawaban salah. Future tense tidak cocok digunakan pada peristiwa masa lalu.
Structure,But along the jaded coastline of southeast Greenland some polar bears … as homebodies.,has survived,is surviving,they survived,are surviving,D,Jawaban salah. 'Has survived' tidak sesuai karena subjek jamak dan bentuk progresif tidak diperlukan.,Jawaban salah. 'Is surviving' tidak sesuai karena subjek jamak dan waktu kalimat tidak menyiratkan progresif saat ini.,Jawaban salah. Meskipun gramatikal, kalimat ini lebih tepat menggunakan bentuk progresif saat ini.,Jawaban benar. Bentuk 'are surviving' menunjukkan aktivitas yang sedang berlangsung saat ini.
Structure,The raw material of perception for all the senses consists of neural impulses … to differently specialized parts of the brain.,they are channeled,channeled are,which are channeled,which channeled are,C,Jawaban salah. Struktur ini tidak memiliki klausa relatif yang benar.,Jawaban salah. Urutan kata tidak gramatikal dalam klausa relatif.,Jawaban benar. 'which are channeled' adalah klausa relatif pasif yang tepat.,Jawaban salah. Urutan 'which channeled are' tidak gramatikal.
Structure,Some early tribes mistook the hyena's distinctive call which … to hysterical human laughter or the cries of lost souls.,to equated,some have equated,some equating,have equating,B,Jawaban salah. 'To equated' bukan bentuk verba yang valid.,Jawaban benar. 'some have equated' sesuai dengan pola klausa relatif dan waktu lampau.,Jawaban salah. 'equating' tidak dapat digunakan tanpa bantuan kata kerja utama.,Jawaban salah. 'have equating' adalah bentuk yang tidak gramatikal.
Structure,While it is traditionally assumed … designed for consumers, it is perhaps more accurate to say that the media content is actually geared towards the needs of advertisers.,that mass media content is,mass media content that is,that is mass media content,mass media content is that,A,Jawaban benar. Struktur 'that mass media content is' cocok dengan klausa benda setelah 'assumed'.,Jawaban salah. Urutan frasa tidak gramatikal dalam klausa benda.,Jawaban salah. Struktur klausa tidak logis.,Jawaban salah. Struktur 'mass media content is that' tidak gramatikal.
Structure,Commercial organizations spend a lot of effort and money on naming products devising slogans and creating messages … meaningful to the buying public.,will be that,that will be,will it be,that it will,B,Jawaban salah. 'will be that' tidak gramatikal dalam klausa relatif.,Jawaban benar. 'that will be' adalah klausa relatif aktif yang sesuai.,Jawaban salah. Struktur ini tidak membentuk klausa relatif yang benar.,Jawaban salah. 'that it will' tidak gramatikal dalam konteks ini.
Structure,Latin America… the deserts of northern Mexico to the icy wilds of Tierra del Fuego in Chile and Argentina encompasses many diverse countries and people.,extended from,that extended from,extending from,it extended,C,Jawaban salah. Partisip lampau tidak cocok untuk menjelaskan kondisi saat ini.,Jawaban salah. Struktur ini terlalu rumit dan tidak efektif.,Jawaban benar. 'extending from' adalah partisip aktif yang menjelaskan Latin America.,Jawaban salah. Subjek 'it' tidak diperlukan karena ada di tengah-tengah kalimat.
Structure,… and most cosmopolitan city Melbourne is home to people from over 100 nations.,Australia as the second-largest,Australia was the second-largest,Australia is the second-largest,Australia's second-largest,D,Jawaban salah. Struktur ini tidak gramatikal dan tidak memiliki hubungan logis dengan 'Melbourne'.,Kata 'was' tidak cocok untuk deskripsi geografis saat ini.,'Australia is...' tidak bisa menjadi pelengkap 'city'.,Jawaban benar. 'Australia's second-largest' adalah frasa kepemilikan yang tepat.
"Written Expression,The sound of a number of different notes played simultaneous creates harmony.,simultaneous,creates,played,harmony,C,Kesalahan pada opsi C: 'simultaneous' harus berupa adverb 'simultaneously'.,Kalimat ini gramatikal kecuali bagian 'simultaneous'.,Jawaban benar. Kesalahan pada 'simultaneous'; seharusnya 'simultaneously'.,Kata 'harmony' tidak salah; merupakan objek akhir."
"Written Expression,During parasocial relationships still remain one-sided they have transformed into more interactive environments allowing individuals to communicate with their personas.,A,B,C,D,A,Jawaban benar. 'During' tidak tepat; seharusnya 'Although' atau 'While'.,Kata 'parasocial' tidak salah; merupakan sifat dari 'relationships'.,Kata 'remain' tidak salah secara tata bahasa.,Frasa 'their personas' tidak salah secara tata bahasa."
"Written Expression,Just as artists are described in terms of movements such as Baroque and Rococo literary history is defined by authors united in particularly style technique or location.,Baroque,particularly,style,location,B,Kata 'Baroque' tidak salah; merupakan contoh aliran seni.,Jawaban benar. 'particularly' harus berbentuk adjektiva: 'particular'.,Kata 'style' tidak salah; merupakan bagian dari daftar.,Kata 'location' tidak salah; merupakan bagian dari daftar."
"Written Expression,The “Black Swan Theory” refers only to unexpected events of large magnitude and consequential and their dominant role in history.,refers,unexpected,consequential,history,C,Kata 'refers' tidak salah; merupakan predikat utama.,Kata 'unexpected' tidak salah; merupakan sifat dari 'events'.,Jawaban benar. 'consequential' harus berbentuk kata benda: 'consequence'.,Kata 'history' tidak salah; merupakan objek akhir."
"Written Expression,A stress person may experience fleeting moments of concern while a person with anxiety usually experiences symptoms for longer periods of time.,stress,experience,anxiety,time,A,Jawaban benar. 'stress' harus berbentuk adjective: 'stressed'.,Kata 'experience' tidak salah; merupakan predikat utama.,Kata 'anxiety' tidak salah; merupakan kondisi psikologis.,Kata 'time' tidak salah; merupakan objek akhir."
"Written Expression,In the United States England and another major nations patents were awarded at the rate of about 5;000 per year per nation.,another,nations,were awarded,rate,B,Jawaban salah. 'another' tidak cocok untuk plural; seharusnya 'other'.,Jawaban benar. 'nations' adalah subjek jamak; 'another' tidak boleh digunakan.,Kata 'were awarded' tidak salah; sesuai dengan konteks masa lalu.,Kata 'rate' tidak salah; merupakan bagian dari frasa 'rate of about…'."
"Written Expression,While the astronomical polar night stars of the sixth magnitude which are the dimmest stars visible to the naked eye will be visible throughout the entire day.,While,polar night,dimmed,visible,A,Jawaban benar. 'While' tidak tepat; seharusnya 'During'.,Kata 'polar night' tidak salah; merupakan istilah astronomi.,Kata 'dimmed' tidak muncul dalam kalimat asli.,Kata 'visible' tidak salah; sesuai dengan konteks cahaya."
"Written Expression,Experiments using gene therapy represent a giant step into the future of medicine.,Experiments,gene therapy,represent,future,D,Kata 'Experiments' tidak salah; merupakan subjek utama.,Kata 'gene therapy' tidak salah; merupakan topik penelitian.,Kata 'represent' tidak salah; merupakan predikat utama.,Jawaban salah. Tidak ada kesalahan pada kalimat; kemungkinan hanya uji coba."
"Written Expression,After visited army camps near Washington D.C in 1861 Julia Ward Howe wrote “The Battle Hymn of the Republic.”,visited,army camps,Washington D.C,Howe,A,Jawaban benar. 'visited' harus berbentuk V-ing karena setelah preposisi 'after'.,Kata 'army camps' tidak salah; merupakan lokasi kunjungan.,Kata 'Washington D.C' tidak salah; merupakan tempat.,Kata 'Howe' tidak salah; merupakan penulis lagu."
"Written Expression,Certain authorities claim that the costumes that people wear to parties given subtle insights into their personalities.,costumes,wear,parties,given,D,Kata 'costumes' tidak salah; merupakan subjek utama.,Kata 'wear' tidak salah; merupakan predikat utama.,Kata 'parties' tidak salah; merupakan objek dari 'to wear'.,Jawaban benar. 'given' harus berbentuk kata kerja: 'give' atau 'giving'."
"Written Expression,The number of students who failed the test are higher than expected.,number,students,failed,are,D,Kata 'number' tidak salah; merupakan subjek tunggal.,Kata 'students' tidak salah; merupakan objek.,Kata 'failed' tidak salah; merupakan kata kerja.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,Neither the teacher nor the students has done their homework yet.,teacher,nor,students,has,D,Jawaban salah. 'Teacher' tidak salah; subjek tunggal.,Frasa 'nor' tidak salah; penghubung logis.,Kata 'students' tidak salah; subjek jamak.,Jawaban benar. 'Has' harus berbentuk jamak: 'have'."
"Written Expression,The information provided by the staff are not accurate enough.,information,provided,staff,are,D,Kata 'information' tidak salah; subjek tunggal.,Kata 'provided' tidak salah; merupakan partisip lampau.,Kata 'staff' tidak salah; merupakan pelaku.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,Everyone who have seen the movie agrees it’s a masterpiece.,who,have,agrees,movie,B,Kata 'who' tidak salah; sebagai klausa relatif.,Jawaban benar. 'Have' harus berbentuk tunggal: 'has'.,Kata 'agrees' tidak salah; predikat tunggal.,Kata 'movie' tidak salah; merupakan objek."
"Written Expression,Each of the participants were given a certificate at the end of the seminar.,each,were,given,certificate,B,Kata 'each' tidak salah; subjek tunggal.,Jawaban benar. 'Were' harus berbentuk tunggal: 'was'.,Kata 'given' tidak salah; merupakan lampau pasif.,Kata 'certificate' tidak salah; merupakan objek."
"Written Expression,The book including its cover and pages are in good condition.,book,includding,cover,are,D,Kata 'book' tidak salah; subjek tunggal.,Kata 'including' tidak salah; menjelaskan bagian tambahan.,Kata 'cover' tidak salah; bagian dari buku.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,One of the best players on the team are injured.,players,team,are,injured,C,Kata 'players' tidak salah; bagian dari frasa.,Kata 'team' tidak salah; lokasi pemain.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'.,Kata 'injured' tidak salah; kondisi pemain."
"Written Expression,The committee was unable to agree on a decision due to disagreement among its members.,committee,agree,disagreement,members,C,Kata 'committee' bisa jamak atau tunggal tergantung konteks.,Kata 'agree' tidak salah; merupakan kata kerja.,Jawaban benar. Frasa 'due to disagreement' salah; seharusnya 'because of'.,Kata 'members' tidak salah; bagian dari komite."
"Written Expression,The data shows that there is a correlation between sleep and productivity.,data,shows,correlation,productivity,C,Kata 'data' bisa jamak/tunggal tergantung konteks.,Kata 'shows' tidak salah jika data dianggap tunggal.,Jawaban benar. 'Correlation' harus berbentuk klausa lengkap.,Kata 'productivity' tidak salah; hasil."
"Written Expression,All of the information in this report is confidential and must not be disclosed.,of,information,report,is,A,Jawaban benar. 'All of the information' tidak gramatikal; seharusnya 'all the information'.,Kata 'information' tidak salah; subjek tunggal.,Kata 'report' tidak salah; sumber informasi.,Kata 'is' tidak salah; cocok dengan subjek tunggal."
